publishedAt;authorDisplayName;text;likeCount
2023-05-09T06:32:24Z;mannnnnn;kalo bener  capres bakal maju  rakyat indonesia bakal banjir cuan saat masa pemilu ;0
2023-05-09T06:22:59Z;Ex Despair;selama mak banteng masih mentereng  susah buat yang laen ;0
2023-05-09T06:07:44Z;Yogi Ramadhan;presiden harus orang jawa asli ganjar pranowo orang jawa bukan orang keturunan;0
2023-05-09T08:18:07Z;Pain Tendo;lu kira dinegara indo cuma ada suku jawa  br cuma karna jadi mayoritas harus selalu jadi penguasa gitu  br ternyata jawa egois ya;1
2023-05-09T08:17:00Z;Pain Tendo;si paling jawa;1
2023-05-09T05:39:35Z;Faderu produksi;siapa aja boleh jadi presiden asal bukan salah satu dari kalangan berikut  br   non pribumi br   produk orde baru br   kalangan militer br   pro khilafah br   pelanggar ham br  br selebihnya siapa aja boleh ;1
2023-05-09T04:55:50Z;Dhori Khan;mau  capres kek anis tetap pilihanku;0
2023-05-09T04:53:30Z;Rukmi Hidayati;yg penting orang pribumi;0
2023-05-09T04:24:30Z;Mas Fa;mana nih uas presiden  hrd wapres;0
2023-05-09T03:35:46Z;Edi Parmo;insyaallah kami sekeluarga besar pilih anies rasyid baswedan   br amanah  cerdas dan berani ;2
2023-05-09T03:24:03Z;Suparlan Segaran;sayangnya p ganjar adalah petugas partai pdip ;0
2023-05-09T08:18:58Z;Pain Tendo;jadi anak emak banteng yg baru;1
2023-05-09T03:12:02Z;Ham Dani;semoga pdip gatot;0
2023-05-09T02:22:22Z;DARING XII MM2;pokoknya jangan lihat partai  lihatlah orangnya  bersih kerja keras  tidak punya kasus   baik kasus kadrun kasus jam kasus korupsi dan kasus grup teroris  biar negara utuh tidak keropos kaya timur tengah  yaman turki afganistan   sehat selalu man ganjar  manstaaaaaabbb  ;0
2023-05-09T02:17:59Z;Algiver Channel;ayo partai mana yg mau ahok     auto jadi thu     semoga   ;0
2023-05-09T01:33:51Z;Roky Dong;mending langsunh di tunjuk aja   percuma lawan si culas    istqna aja jadi posko pemenangan;0
2023-05-09T01:11:05Z;Solihin Muhammad;anti banteng;0
2023-05-09T00:42:59Z;Wayan Mayun;klu  capres udah pasti  br klu  masih ragu br kan hrs sesuai ketentuan dan suara parpol di senayan dan suara parpol di pemilu sebelum nya;0
2023-05-09T00:37:13Z;Ruttencia Tampoli;torang prabowo  sangat jelas sekali dengan kontribusi bapak  indonesia maju  indonesia kuat      ;0
2023-05-08T22:38:56Z;Erik Perdana;pdip anjir jgn smpe partai ini berkuasa lagi  ;1
2023-05-08T22:11:55Z;FaizBauketek;menurut gue yang penting bukan yang mabok agama  najis banget menang modal se agama;0
2023-05-08T19:29:06Z;Mimih Abi;padahal ma banteng nggak butuh suara umat islam tapi ppp merapat ke pdip kalau nggak merapat pdip takut di tangkap kpk  makanya jadi pejabat jangan kebanyakan korupsi sama nonton video bokep ;0
2023-05-08T19:01:12Z;the_rey chanel;kalo gak ganjar yah prabowo lah  yg lain cuman tim hore;0
2023-05-08T18:28:32Z;Koh Chainalie Chainalie;ppp golkar pan br prof mahfud md erik tohir   br presiden  dan wakil presiden     ;1
2023-05-08T17:02:57Z;hadi simon;yg penting jgn milih anis br gagal di jakarta jgn sampe terulang;0
2023-05-08T16:43:07Z;Muhammad Muhsin;kakbah ini aneeh banget ya   hati ppp bakal jadi pdp;0
2023-05-08T16:19:35Z;Abdurrahman Baswedan;presiden         br  br permainan berpikir manusia biasa    br  br   jika saya bakal calon presiden memiliki banyak dukungan dari penguasa negeri ini  harta kekayaannya yang banyak  dan bantuan dana dari penguasa negara lain  apalagi sudah pasti semua lembaga lainnya termasuk lembaga survey menginginkan keuntungan besar dan sudah pasti juga tidak ada lembaga lembaga lainnya termasuk lembaga survey ingin rugi  br  br apa yang harus saya dan tim saya lakukan untuk lembaga lembaga lain  termasuk lembaga survey supaya poin suara saya bisa dominan dari bakal calon presiden lainnya      br  br  br note   mari cerdas dan bijaksana dalam memilih presiden  ingat masa kerja presiden itu  tahun ke depan berarti yang menentukan masa depan  rakyat  kita semua termasuk anak dan cucu kita   bangsa dan negeri ini  tahun ke depan     ;0
2023-05-08T16:06:59Z;Arif Firtana;dukung doa   in aja yg terbaik untuk indonesia soalnya menyangkut hajat orang banyak  mau capres a  b  c  yg penting dia amanah   kriteria capres berprestasi tidak korupsi  tidak main suap sogok kebijakannya pro rakyat  tidak suka nonton bkp  tidak politik pembodohan publik misal bagi sembako  bagi amplop  jangan sampai gara sembako n amplop yg cuma segitu doang   kepala kita di injak selama tahun  jika kriteria diatas ada pada salah satu capres   maka kita wajib dukung beliau    ;0
2023-05-08T15:34:52Z;Rony Rajagukguk;the next jokowi  ganjar pranowo ;0
2023-05-08T15:24:27Z;kacung cinta;rekam jejak wowo     jadi letjen abri di jaman suharto     menginisiasi bintang lima dan menjadikan jenderal besar suharto     wowo jadi pilar bertahannya kepemimpinan suharto     sampai akhirnya melakukan blunder dan kemudian dipecat dari abri     kemudian bikin partai yang kental dengan wowo sentris     menciptakan loyalis loyalis bayaran      quot wowo sentris quot  itu kuncinya     itu karakter kepemimpinan wowo     selalu menekankan bahwa konstitusi uud     adalah corak semi sosialis seperti tercantum dalam pasal  ayat       dan itulah yang diterapkan oleh suharto juga       quot mengantongi quot  konglomerat  br yang menguasai cabang cabang perekonomian di indonesia     sehingga dapat menekan harga  jual barang barang kebutuhan rakyat      tapi tentunya dengan kompensasi konglomerat tersebut dapat memperoleh kredit bank seperti blbi     terlihat  quot semi sosialis quot  akan berbenturan dengan  quot demokrasi quot       semi sosialis beriring dengan wowo sentris     itu gambaran karakter kepemimpinan wowo    demokrasi akan ditelikung oleh wowo sentris;0
2023-05-08T15:17:45Z;Ganis Queen;saya pilih capres ga lihat parpolnya  tpi lihat orangnya jejek rekamnya gaya  kepmiminnya  dulu saya pilih jokowi ga lihat parpolnya  andaikan dulu klo jokowi bukan capres dari parpol pdi p  tetep saya pilih jokowi;0
2023-05-08T15:00:39Z;rfady rfady;bagus    biarkan rakyat memilih dengan hatinurani nya masing  br kalau banyak pilihan itu lebih bagus bukan terpaksa karna tak ada pilihan;1
2023-05-08T14:56:40Z;akuang akuang;kok gak ada ahok;0
2023-05-08T14:26:18Z;Oka Sadewa;pak ganjar dan prabowo kalo di adu membuatku bingung pilih yang mana     br kalo pilih ganjar karna pdi p  amp  bu mega   br kalo pilih prabowo hati kecilku simpati sama beliau sejak  di gandeng bu mega  dan  malah di adu sama pak jokowi  ;0
2023-05-08T12:50:30Z;Abu Khaer, M.Pd;sy sekeluarga pilih pak anies  karena beliau cerdas  amanah  berpendidikan  sopan  berwibawa  santun ;3
2023-05-08T12:46:13Z;Yanz yanz Ian;anies pilihan ku;1
2023-05-08T12:01:24Z;Agus Antara;kita semua adalah presiden jangan ambil pusing lur    ;0
2023-05-08T11:44:26Z;Baim Brahimi;gpp banyak capres   siapa tau nanti jadi menteri   eeeeeh;0
2023-05-08T11:30:11Z;Andri Hermawan;kurang banyak   br kalau g pakai trace hold  bisa lebih banyak  lebih banyak opsi lebih baik ;0
2023-05-08T11:30:05Z;Jefri Bn;atas dukungan yang dpt kami pantau didesa selama ini kalau kalau pak ganjar pasangan dengan pak erik  tidur   maka semua pendamping desa akan mengajak semua masyarakat yg terima bantuan akan bergabung semuanya memilih pdip untuk  menangkan pak ganjar pasangan gentar;0
2023-05-08T11:23:24Z;Ajie Kocek;pak anies dong ;0
2023-05-08T09:37:05Z;TKJ-iN;pilih capres yg sudah mempunyai prestasi merubah  wilayahnya jangan pilih yang suka duduk enak jarang turun ke masyarakat dan badannya berisi;0
2023-05-08T09:19:38Z;Kanip Kanip;mugo sek dadi pak prabowo alfatihah;0
2023-05-08T08:59:18Z;Daniel Khan;kita pilih capres yang berani nembak sejuta per kepala wakwkwk   selesai calon langsung korupsi besar besaran ;0
2023-05-08T08:42:09Z;Wiring Febuari;ganjar pranowo akan jadi presiden palestina;0
2023-05-08T08:22:21Z;ardimas fajar;ganjar petugas partai  bukan real untuk rakyat     ;0
2023-05-08T08:18:04Z;Najamuddin;mantan itu baru kren ;0
2023-05-08T08:04:37Z;7Nans;strategi karna udh psti mnang banteng merah dan nmbhin  enemy nmbh opsi buat mecah suara buat menangin bang abas;0
2023-05-08T07:25:10Z;Kalangkang ЯR;kalo dari fisik ganjar pranowo paling keren  tinggi   rambut putih layaknya joy biden coy     br tapi partai nya waduh   ;0
2023-05-08T07:15:36Z;M farhan Fais;saya pilih prabowo;0
2023-05-08T07:13:54Z;Air Langga;anis gk usah di libatkan memangnya anis itu bisa apa selain ngeles  pintar ngomong kerja gk becus ngrampok uang rakyat  anis itu komplotan perampok uang pajak rakyat ;0
2023-05-08T06:50:04Z;Jamal Udin;kenapa pk prabowo ga duwet saja sama pk anies ;0
2023-05-08T06:35:48Z;Tavip Ekowati;semoga yg terpilih afalah presiden pembela umat dan berkasih kpd rakyat kecil br sidiq br amanah br fatonah br amin yra    ;1
2023-05-08T06:33:19Z;Alan Walker;p dan hanura dah merapat ke pdi perjuangan;1
2023-05-08T06:13:30Z;dhanzz Thea;kenapa ya capres nya itu aja    apa gak ada yg minat lg selain yg dari orang tsb    bosen pastinya gak bakal ada perubahan apa    br peminat banyak kali ya  cuma pastinya banyak penyebabnya   br   perlu dana gede br   gak mau berpolitik krn udah tau kondisi dunia politik kita br   tantangan berat ngadepin orang yg selama ini menjabat    br      ;0
2023-05-08T06:12:11Z;Joko Ordumas;sembarang  seng penting glory glory ganjar presiden;0
2023-05-08T05:55:19Z;Baru Baru;saya tidak memilih ganjar penghalang tuan rumahll pildun;0
2023-05-08T05:51:43Z;Suharno Hci;ya tapi kalau calon kualitas  seperti anis  ya percuma  habisin anggaran saja yg di untungkan ya parpol lagi kebagian cuan  br dr pemerintah dapat dari bohir dapat  ;0
2023-05-08T05:50:44Z;Sange An;intinya jangan pilih dari banteng merah jika ga mau hidup lo sengsara     br tenggelamkan pdip     ;0
2023-05-08T05:26:24Z;User Metro;seharusnya cukup dua pasang capres wapres sehingga hanya ada satu putaran dan tidak membutuhkan biaya yang banyak masyarakat di putaran kedua pasti kurang antusias;0
2023-05-08T05:12:58Z;fathur rahman;tgb calon presiden ;0
2023-05-08T05:12:38Z;sakera;anies gw   ;1
2023-05-08T05:11:33Z;Aqil Kurniawan;tetap anies di hatiku  ;1
2023-05-08T05:09:14Z;Abdullah Al aqil;saya sih dukung anies baswedan br tapi saya respacht pada calon yang lain yang penting konsisten demi kemajuan indonesia        br  br semoga saya gak di serang heett   ;2
2023-05-08T04:40:00Z;Thanenan Sarunai;kib   itu pasti dukung gp  nyatanya  p  sdh deklarasi  dan golkar dan pan hanya munggu saatnya yg baik  br kib  antisipasi trio jokowi  lbp dan ah  jika pdip tdk calonkan gp ;0
2023-05-08T04:38:40Z;Mar Yono;  pasang capres lebih bagus klu cuma  rawan kecurangan;0
2023-05-08T04:36:00Z;Hariyanto Hariyanto;partai  pendukung  jika  yang  partai  pendukung  yg  kalah  gk  usah  di jadiin  mentri atw yg lain   enak  aja  udah  kalah  gabung  koalisi  huh  bingung     ;0
2023-05-08T03:10:04Z;yusron syarifuddin;tinggal pan dan golkar   seeprtinya pan akan masuk ke ganjar  tinggal golkar  golkarbisa  ke ganjar atau ke prabowo;0
2023-05-08T02:33:44Z;S Ramdani;ridwan kamil presiden  sandiaga uno wakil presiden  br  br saatnya yang muda jadi pemimpin indonesia  br  br yang tua   mending istirahat aja ;0
2023-05-08T02:29:02Z;Zulham Azwier;hati hati  jangan presiden berijazah palsu                   br jangan lagi pilih partai wong licik  kapok  br tidak dari keluarga pki  br  br cari presiden pancasila br   ngerti agama br   ber peri kemanusiaan br   faham persatuan br   junjung musyawarah br   punya cita cita membuat masyarakat adil makmur  br  br bravo pribumi;1
2023-05-08T02:23:03Z;barbosa imran;prabowo udah tua  ganjar ngak punya prestasi  anis terbukti;0
2023-05-08T02:22:32Z;MRP KU;capek dikibulin banteng mulu ;0
2023-05-08T02:06:25Z;PANDAWA 3;fiks saya pilih pak prabowo;0
2023-05-08T01:54:12Z;Kodhoq Ngorex;gak mungkin badut beruban ini jadi presiden ;0
2023-05-08T01:38:21Z;Paris 73;seru kalau  capres yang berlaga     br semakin banyak pilihan  akan semakin terbuka mata rakyat indonesia untuk memilih capres yang berkualitas     br nggak perlu ada penggiringan ke kata boncos deh     lebih baik keluar dana besar yang gak seberapa di awal tapi menghasilkan pemimpin yang berkualitas dan dapat mensejahterakan rakyat indonesia dan disegani oleh negara luar    ;0
2023-05-08T01:10:19Z;Si Boy;wahai rakyat    sadarlah    br milih jangan yang kelihatan merakyat saja apalagi petugas partai   br masih banyak org intelek yg lebih cerdas utk mencerdaskan rakyat dan mensejahterakan rakyatnya  ;1
